Enemy,Initial_Diversity,Simulation,Generation,Fitness_Avg,Fitness_Std,Fitness_Max,Gain_Avg,Gain_Std,Gain_Max
4,0.7,9,65,88.66703008896958,0.022599746485210015,88.89189472731545,52.01200000000029,0.11939849245279459,53.200000000000315
4,0.7,9,66,88.66703008896958,0.022599746485210015,88.89189472731545,52.01200000000029,0.11939849245279459,53.200000000000315
4,0.7,9,67,88.66475872898629,8.526512829121202e-14,88.66475872898637,52.00000000000029,2.1316282072803006e-14,52.00000000000031
4,0.7,9,68,88.66475872898629,8.526512829121202e-14,88.66475872898637,52.00000000000029,2.1316282072803006e-14,52.00000000000031
4,0.7,9,69,88.66475872898629,8.526512829121202e-14,88.66475872898637,52.00000000000029,2.1316282072803006e-14,52.00000000000031
4,0.7,9,70,88.66475872898629,8.526512829121202e-14,88.66475872898637,52.00000000000029,2.1316282072803006e-14,52.00000000000031
4,1,0,0,-2.3002884514615483,7.3820595187575035,21.882006187583244,-96.15799999999999,8.139744222025655,-70.0
4,1,0,1,5.983535669869542,10.33226306193654,48.028738160209535,-87.09599999999999,11.778301405550785,-40.0
4,1,0,2,17.22574484860118,10.997314456779357,84.88695546585758,-74.18199999999999,12.853733932208197,14.800000000000228
4,1,0,3,22.921002357554688,8.93216744697598,74.44677961290972,-67.41199999999999,9.16540539201622,-2.3999999999997677
4,1,0,4,22.615006438280183,8.39316417246348,39.046756665712216,-66.97599999999998,5.904661209586875,-50.0
4,1,0,5,24.32489325263139,8.235158993841385,46.87471690848929,-65.584,6.964577804863691,-40.0
4,1,0,6,25.183799501299614,13.036756877373033,73.86830148953308,-63.06399999999999,10.904416719843379,-10.0
4,1,0,7,25.97676530116858,11.97211900102094,56.6738505268449,-62.77199999999999,10.284318937100311,-30.0
4,1,0,8,26.423580272411574,13.41702584313082,66.28677961290973,-61.504,11.806455183500267,-3.9999999999997726
4,1,0,9,26.77325027555599,12.888153189676997,64.97446168536148,-61.263999999999996,10.13393822755988,-20.0
4,1,0,10,31.824353915188393,13.350088327844793,73.99330477316296,-56.27599999999997,11.690227713778697,-10.0
4,1,0,11,35.29123920041341,9.601141068253723,65.7954422374313,-54.0,10.954451150103322,-20.0
